Date,SPY,IWM
7/17/2002,71.62,34.83
7/18/2002,69.3,33.62
7/19/2002,66.86,32.91
7/22/2002,64.88,32.26
7/23/2002,63.11,30.57
7/24/2002,66.87,32.38
7/25/2002,66.3,32.12
7/26/2002,67.57,32.64
7/29/2002,70.86,33.89
7/30/2002,71.78,33.99
7/31/2002,71.95,33.47
8/1/2002,70.08,32.98
8/2/2002,68.5,31.94
8/5/2002,66.12,31.09
8/6/2002,68.35,32.44
8/7/2002,69.54,32.57
8/8/2002,71.79,33.09
8/9/2002,72.06,32.81
8/12/2002,71.53,32.89
8/13/2002,70.23,31.95
8/14/2002,72.79,33.1
8/15/2002,73.8,33.13
8/16/2002,73.58,33.64
8/19/2002,75.3,34.11
8/20/2002,74.5,33.93
8/21/2002,75.58,34.63
8/22/2002,76.31,34.85
8/23/2002,74.67,33.93
8/26/2002,75.19,34.55
8/27/2002,74.32,33.89
8/28/2002,72.7,33.23
8/29/2002,72.73,33.48
8/30/2002,72.44,33.25
9/3/2002,69.68,32.27
9/4/2002,70.68,32.95
9/5/2002,70.08,32.29
9/6/2002,71.04,33.36
9/9/2002,71.56,33.26
9/10/2002,72.38,33.47
9/11/2002,71.93,33.36
9/12/2002,70.6,32.81
9/13/2002,70.78,33.21
9/16/2002,70.95,32.83
9/17/2002,69.33,32.38
9/18/2002,68.63,32.3
9/19/2002,66.85,31.12
9/20/2002,66.88,31.25
9/23/2002,66.33,30.48
9/24/2002,65.26,30.24
9/25/2002,66.88,31.16
9/26/2002,67.97,31.57
9/27/2002,65.61,30.8
9/30/2002,64.85,30.59
10/1/2002,67.96,31.57
10/2/2002,65.93,30.8
10/3/2002,65.26,30.47
10/4/2002,64.06,29.62
10/7/2002,62.74,28.83
10/8/2002,63.72,29.05
10/9/2002,61.92,27.83
10/10/2002,63.93,28.64
10/11/2002,66.73,29.37
10/14/2002,67.1,29.56
10/15/2002,70.33,30.76
10/16/2002,68.62,29.99
10/17/2002,69.98,30.88
10/18/2002,70.28,30.95
10/21/2002,71.49,31.35
10/22/2002,70.98,30.95
10/23/2002,71.52,31.44
10/24/2002,70.06,31.14
10/25/2002,71.52,31.82
10/28/2002,71.05,31.46
10/29/2002,70.22,31.37
10/30/2002,70.9,31.91
10/31/2002,70.18,31.85
11/1/2002,71.57,32.59
11/4/2002,72.25,32.88
11/5/2002,72.82,32.93
11/6/2002,73.77,33.49
11/7/2002,71.96,32.7
11/8/2002,71.08,32.25
11/11/2002,69.98,31.47
11/12/2002,70.53,31.97
11/13/2002,70.6,32.15
11/14/2002,71.94,32.84
11/15/2002,72.47,32.83
11/18/2002,71.74,32.58
11/19/2002,71.64,32.46
11/20/2002,73.24,33.32
11/21/2002,74.6,33.97
11/22/2002,74.07,34.21
11/25/2002,74.12,34.43
11/26/2002,72.7,34.05
11/27/2002,74.75,34.98
11/29/2002,74.51,34.54
12/2/2002,74.63,34.81
12/3/2002,73.63,34.2
12/4/2002,73.3,33.86
12/5/2002,72.49,33.7
12/6/2002,72.97,33.84
12/9/2002,70.96,32.94
12/10/2002,71.91,33.58
12/11/2002,71.98,33.62
12/12/2002,71.97,33.76
12/13/2002,70.83,33.1
12/16/2002,72.66,33.69
12/17/2002,72.03,33.33
12/18/2002,71.2,32.8
12/19/2002,70.69,32.72
12/20/2002,71.7,33.09
12/23/2002,71.72,33.31
12/24/2002,71.19,33.25
12/26/2002,71.22,33.25
12/27/2002,69.62,32.7
12/30/2002,70.2,32.6
12/31/2002,70.3,32.56
1/2/2003,72.56,33.46
1/3/2003,72.78,33.41
1/6/2003,74.07,33.8
1/7/2003,73.88,33.62
1/8/2003,72.81,33.28
1/9/2003,73.95,33.77
1/10/2003,74.15,33.85
1/13/2003,74.12,33.92
1/14/2003,74.36,33.95
1/15/2003,73.62,33.87
1/16/2003,73.32,33.82
1/17/2003,72.23,33.19
1/21/2003,71.11,32.7
1/22/2003,70.25,32.42
1/23/2003,70.68,32.62
1/24/2003,68.82,31.95
1/27/2003,67.88,31.46
1/28/2003,68.38,31.72
1/29/2003,68.9,31.96
1/30/2003,67.27,31.44
1/31/2003,68.57,31.89
2/3/2003,68.7,31.61
2/4/2003,68.03,31.61
2/5/2003,67.6,31.38
2/6/2003,67.29,31.21
2/7/2003,66.46,30.63
2/10/2003,66.93,30.95
2/11/2003,66.47,30.87
2/12/2003,65.41,30.43
2/13/2003,65.61,30.35
2/14/2003,67.05,30.63
2/18/2003,68.23,31.24
2/19/2003,67.87,30.86
2/20/2003,67.19,30.8
2/21/2003,67.87,31.06
2/24/2003,66.77,30.59
2/25/2003,67.3,30.87
2/26/2003,66.32,30.71
2/27/2003,67.2,30.88
2/28/2003,67.64,30.93
3/3/2003,67,30.84
3/4/2003,65.93,30.44
3/5/2003,66.49,30.5
3/6/2003,65.93,30.25
3/7/2003,66.38,30.33
3/10/2003,64.79,29.81
3/11/2003,64.15,29.6
3/12/2003,64.58,29.66
3/13/2003,66.82,30.46
3/14/2003,67.03,30.5
3/17/2003,69.14,31.21
3/18/2003,69.55,31.62
3/19/2003,70.08,31.54
3/20/2003,70.23,31.75
3/21/2003,71.73,32.19
3/24/2003,69.35,31.5
3/25/2003,70.01,31.84
3/26/2003,69.66,31.44
3/27/2003,69.72,31.66
3/28/2003,69.36,31.64
3/31/2003,67.79,31
4/1/2003,68.83,31.54
4/2/2003,70.49,32.16
4/3/2003,70.16,32.18
4/4/2003,70.57,32.09
4/7/2003,70.44,32.11
4/8/2003,70.55,32.13
4/9/2003,69.62,31.96
4/10/2003,70,31.97
4/11/2003,69.72,31.79
4/14/2003,71.16,32.37
4/15/2003,71.82,32.71
4/16/2003,70.6,32.37
4/17/2003,71.64,32.87
4/21/2003,71.72,33.09
4/22/2003,73.07,33.55
4/23/2003,73.74,33.9
4/24/2003,73.08,33.73
4/25/2003,72.18,33.26
4/28/2003,73.43,33.85
4/29/2003,73.68,34.08
4/30/2003,73.52,34.18
5/1/2003,73.52,34.14
5/2/2003,74.56,35
5/5/2003,74.42,35.16
5/6/2003,75.12,35.5
5/7/2003,74.71,35.28
5/8/2003,73.96,34.99
5/9/2003,74.98,35.49
5/12/2003,75.9,35.88
5/13/2003,75.76,36.09
5/14/2003,75.6,36.07
5/15/2003,76.08,36.21
5/16/2003,75.89,35.76
5/19/2003,74.12,35.14
5/20/2003,73.96,35.13
5/21/2003,74.12,35.27
5/22/2003,74.85,35.63
5/23/2003,75,35.91
5/27/2003,76.32,36.75
5/28/2003,76.53,37
5/29/2003,76.33,37.24
5/30/2003,77.56,37.9
6/2/2003,77.88,38.1
6/3/2003,78.2,38.22
6/4/2003,79.32,38.74
6/5/2003,79.72,39.37
6/6/2003,79.4,38.92
6/9/2003,78.6,38.2
6/10/2003,79.4,38.77
6/11/2003,80.24,39.13
6/12/2003,80.48,39.35
6/13/2003,79.64,38.65
6/16/2003,81.32,39.31
6/17/2003,81.32,39.39
6/18/2003,81.25,39.36
6/19/2003,80.01,38.83
6/20/2003,79.84,38.5
6/23/2003,79.02,37.81
6/24/2003,79.1,37.8
6/25/2003,78.3,38.05
6/26/2003,79.32,38.7
6/27/2003,78.41,38.46
6/30/2003,78.38,38.34
7/1/2003,79.1,38.6
7/2/2003,80.1,39.56
7/3/2003,79.27,39.22
7/7/2003,80.85,40.04
7/8/2003,81.21,40.75
7/9/2003,80.75,41.05
7/10/2003,79.72,40.25
7/11/2003,80.48,40.81
7/14/2003,80.87,41.14
7/15/2003,80.69,41.03
7/16/2003,80.22,40.81
